course_name,count,mean
Dates and Times in Python,33,5.0
Derivatives,13,5.0
Mastering Key Performance Indicators (KPIs),5,5.0
Negotiation,13,5.0
Persuasion and Influence,5,5.0
SQL + Tableau + Python,34,5.0
Machine Learning with Ridge and Lasso Regression,33,4.96969696969697
Financial Ratio Analysis,49,4.959183673469388
Machine Learning with Support Vector Machines,41,4.951219512195122
Building a 3-Statement Model in Excel,61,4.950819672131147
Accounting and Financial Statement Analysis,140,4.95
Corporate Finance,39,4.948717948717949
Fundamentals of Equity Valuation,19,4.947368421052632
Advanced SQL,18,4.944444444444445
Introduction to Industry and Company Analysis,18,4.944444444444445
Machine Learning with K-Nearest Neighbors,52,4.9423076923076925
LBO Modeling in Excel,17,4.9411764705882355
Introduction to Equity Securities,16,4.9375
Multiples Valuation,16,4.9375
Machine Learning with Naïve Bayes,78,4.935897435897436
Who Does What in Finance,214,4.929906542056075
Building Business Reports Using Power BI,57,4.9298245614035086
Portfolio Management,14,4.928571428571429
Convolutional Neural Networks with TensorFlow in Python,41,4.926829268292683
Alternative Investments,13,4.923076923076923
Introduction to Python,363,4.920110192837465
Marketing Strategy,12,4.916666666666667
Fixed Income Investments,12,4.916666666666667
Data Preprocessing with NumPy,70,4.914285714285715
Corporate Strategy,11,4.909090909090909
Advanced Financial Reporting - Inventory,11,4.909090909090909
Advanced Financial Reporting - Long-term Liabilities,10,4.9
Introduction to Jupyter,316,4.89873417721519
Machine Learning in Excel,47,4.8936170212765955
SQL + Tableau,75,4.8933333333333335
FP&A: Building a Company's Budget,45,4.888888888888889
"Starting a Career in Data Science: Project Portfolio, Resume, and Interview Process",71,4.887323943661972
SQL,379,4.886543535620053
Investment Banking,52,4.884615384615385
Project Management,26,4.884615384615385
Power Query and Data Modeling,69,4.884057971014493
Product Management for AI & Data Science,58,4.879310344827586
Introduction to Excel,1083,4.878116343490305
Discounted Cash Flow Valuation,41,4.878048780487805
Data Analysis with Excel Pivot Tables,443,4.8758465011286685
Working with Text Files in Python,16,4.875
SQL for Data Science Interviews,80,4.875
Introduction to Data and Data Science,1737,4.872193436960276
Introduction to R Programming,85,4.870588235294117
Introduction to Business Analytics,99,4.8686868686868685
Mathematics,197,4.868020304568528
Fundamentals of Financial Reporting,37,4.864864864864865
"The Complete Data Visualization Course with Python, R, Tableau, and Excel",100,4.86
Python Programmer Bootcamp,364,4.857142857142857
Machine Learning with Decision Trees and Random Forests,63,4.841269841269841
Technical Analysis,31,4.838709677419355
Machine Learning in Python,146,4.821917808219178
Intro to ChatGPT and Generative AI,754,4.815649867374005
Customer Churn Analysis with SQL and Tableau,21,4.809523809523809
Data Strategy,430,4.788372093023256
Introduction to DAX,49,4.775510204081633
Credit Risk Modeling in Python,44,4.7727272727272725
Statistics,475,4.772631578947369
Customer Analytics in Python,35,4.771428571428571
Power BI,252,4.765873015873016
Time Series Analysis with Python,51,4.764705882352941
Math for Finance,38,4.7631578947368425
Introduction to Tableau,185,4.762162162162162
Fashion Analytics with Tableau,29,4.758620689655173
Data Literacy,155,4.754838709677419
Data Analysis in Power BI with ChatGPT,20,4.75
Macroeconomics,8,4.75
A/B Testing in Python,63,4.746031746031746
Advanced Microsoft Excel,128,4.7421875
Machine Learning Deep Dive: Business Applications and Coding Walkthroughs,7,4.714285714285714
Web Scraping and API Fundamentals in Python,38,4.7105263157894735
Blockchain for Business,22,4.681818181818182
Probability,103,4.679611650485437
Python for Finance,27,4.666666666666667
How to Think Like a Data Scientist to Become One,78,4.666666666666667
Data Cleaning and Preprocessing with pandas,127,4.661417322834645
Linear Algebra and Feature Selection,29,4.655172413793103
Git and GitHub,225,4.648888888888889
The Machine Learning Process A-Z,47,4.617021276595745
Deep Learning with TensorFlow 2,66,4.590909090909091
Fundamentals of Financial Markets,12,4.583333333333333
Intermediate Python Programming,24,4.583333333333333
Advanced SQL for Data Engineering,9,4.555555555555555
Communication and Presentation Skills for Analysts and Managers,15,4.533333333333333
AI Applications for Business Success,23,4.521739130434782
Data-Driven Business Growth,30,4.466666666666667
The Machine Learning Algorithms A-Z,18,4.0
